Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
15/08/2025,Liverpool,Bournemouth,4,2,H,2526,E0
16/08/2025,Aston Villa,Newcastle,0,0,D,2526,E0
16/08/2025,Brighton,Fulham,1,1,D,2526,E0
16/08/2025,Sunderland,West Ham,3,0,H,2526,E0
16/08/2025,Tottenham,Burnley,3,0,H,2526,E0
16/08/2025,Wolves,Man City,0,4,A,2526,E0
17/08/2025,Chelsea,Crystal Palace,0,0,D,2526,E0
17/08/2025,Nott'm Forest,Brentford,3,1,H,2526,E0
17/08/2025,Man United,Arsenal,0,1,A,2526,E0
18/08/2025,Leeds,Everton,1,0,H,2526,E0
22/08/2025,West Ham,Chelsea,1,5,A,2526,E0
23/08/2025,Man City,Tottenham,0,2,A,2526,E0
23/08/2025,Bournemouth,Wolves,1,0,H,2526,E0
23/08/2025,Brentford,Aston Villa,1,0,H,2526,E0
23/08/2025,Burnley,Sunderland,2,0,H,2526,E0
23/08/2025,Arsenal,Leeds,5,0,H,2526,E0
24/08/2025,Crystal Palace,Nott'm Forest,1,1,D,2526,E0
24/08/2025,Everton,Brighton,2,0,H,2526,E0
24/08/2025,Fulham,Man United,1,1,D,2526,E0
25/08/2025,Newcastle,Liverpool,2,3,A,2526,E0
30/08/2025,Chelsea,Fulham,2,0,H,2526,E0
30/08/2025,Man United,Burnley,3,2,H,2526,E0
30/08/2025,Sunderland,Brentford,2,1,H,2526,E0
30/08/2025,Tottenham,Bournemouth,0,1,A,2526,E0
30/08/2025,Wolves,Everton,2,3,A,2526,E0
30/08/2025,Leeds,Newcastle,0,0,D,2526,E0
31/08/2025,Brighton,Man City,2,1,H,2526,E0
31/08/2025,Nott'm Forest,West Ham,0,3,A,2526,E0
31/08/2025,Liverpool,Arsenal,1,0,H,2526,E0
31/08/2025,Aston Villa,Crystal Palace,0,3,A,2526,E0
13/09/2025,Arsenal,Nott'm Forest,3,0,H,2526,E0
13/09/2025,Bournemouth,Brighton,2,1,H,2526,E0
13/09/2025,Crystal Palace,Sunderland,0,0,D,2526,E0
13/09/2025,Everton,Aston Villa,0,0,D,2526,E0
13/09/2025,Fulham,Leeds,1,0,H,2526,E0
13/09/2025,Newcastle,Wolves,1,0,H,2526,E0
13/09/2025,West Ham,Tottenham,0,3,A,2526,E0
13/09/2025,Brentford,Chelsea,2,2,D,2526,E0
14/09/2025,Burnley,Liverpool,0,1,A,2526,E0
14/09/2025,Man City,Man United,3,0,H,2526,E0
